cod_va;cod_perfil;fec_alta;fec_baja;cod_sap;importe_base;importe_min;por_incremento;valor_complejidad;desc_precio_va;cod_formula;desc_formula;fec_creacion;fec_actualizacion
RISIPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC001;0.78;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
REICPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC081;3.40;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
REDOPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC083;6.30;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
ENRECPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC100;10.00;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
COPRISF;2;2025-01-01 00:00:00;2025-12-31 00:00:00;;0.00;0.00;0.00;;Se ofrece como atributo del producto;6;Gratis;2025-01-16 00:00:00;2025-01-16 00:00:00
SMSRSF;2;2025-01-01 00:00:00;2025-12-31 00:00:00;;0.41;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SMSDSF;2;2025-01-01 00:00:00;2025-12-31 00:00:00;;0.41;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SMSRDSF;2;2025-01-01 00:00:00;2025-12-31 00:00:00;;0.62;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
GENADPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC180;2.28;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
RIENPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC178;1.70;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
GECCMPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC014;0.80;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
VDNAPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC007;2.60;1.00;50.00;;Tiene un coste de (importe_base) ?, por cada (por_incremento) ? declarados o fracciÃ³n;4;Input / (por_incremento). Resultado redondeado a entero superior y multiplicado por (importe_base). MÃ­nimo de (importe_min) fracciones;2025-01-16 00:00:00;2025-01-16 00:00:00
GEDIDPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC015;0.35;13.56;1000.00;1;Cada documento a digitalizar tiene un coste de (importe_base) ?. AdemÃ¡s, se tarificarÃ¡ por el almacenamiento y custodia en cajas A-Z de (por_incremento) documentos en base a cada aÃ±o y caja con una tarifa de (importe_min) ?;7;Cada documento a digitalizar -> (importe_base). AÃ±os y cajas <= 1 -> (importe_base) + (importe_min). AÃ±os o cajas > 1 -> (importe_base) + (importe_min * n aÃ±os). Capacidad de las cajas = (por_incremento) documentos.;2025-01-16 00:00:00;2025-01-16 00:00:00
GEDIDPO;1;2025-01-01 00:00:01;2025-12-31 00:00:00;SAC015;20.50;0.00;0.00;2;Tiene un coste de (importe_base) ? por cada consulta fÃ­sica de documento y entrega;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
CLAENPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC024;0.30;0.00;0.00;;Tiene un coste de (importe_base) ? por cada documento;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
TEINEPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;S0098;0.82;0.00;0.00;1;Para envÃ­os hasta 20 g normalizados tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
TEINEPO;1;2025-01-01 00:00:01;2025-12-31 00:00:00;S0098;0.92;0.00;0.00;2;Para envÃ­os de 20 a 50 g o no normalizados de hasta 20 g tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
TEINEPO;1;2025-01-01 00:00:02;2025-12-31 00:00:00;S0098;1.45;0.00;0.00;3;Para envÃ­os de 50 a 100 g tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
TEINEPO;1;2025-01-01 00:00:03;2025-12-31 00:00:00;S0098;2.90;0.00;0.00;4;Para envÃ­os de 100 a 500 g tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
TEINEPO;1;2025-01-01 00:00:04;2025-12-31 00:00:00;S0098;5.90;0.00;0.00;5;Para envÃ­os de 500 a 1.000 g tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
TEINEPO;1;2025-01-01 00:00:05;2025-12-31 00:00:00;S0098;6.40;0.00;0.00;6;Para envÃ­os de 1 a 2 kg tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
EFHALO;1;2025-01-16 00:00:00;2025-12-31 00:00:00;SAC210;0.00;0.00;0.00;;Se ofrece como atributo del producto;6;Gratis;2025-01-16 00:00:00;2025-04-14 00:00:00
EFHRLO;1;2025-01-16 00:00:00;2025-12-31 00:00:00;SAC210;0.00;0.00;0.00;;Tiene un coste de (importe_base) ? por cada bulto;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-04-14 00:00:00
VADEPA;99;2025-07-31 00:00:00;2025-12-31 00:00:00;SAC058;0.00;1.67;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-07-31 00:00:00;2025-07-31 00:00:00
